intent;text;lang
animal_funfact;Dime un dato curioso sobre los gatos.;es
animal_funfact;Sorpréndeme con un hecho sobre los pingüinos.;es
animal_funfact;¿Sabes algo interesante de los osos?;es
animal_funfact;Cuéntame un dato divertido de un animal.;es
animal_funfact;¿Algún dato curioso sobre el animal que elijas?;es
animal_funfact;dime dato curioso de gatos;es
animal_funfact;sorprndeme con un echo d pinginos;es
animal_funfact;sabes algo interezante de osos;es
animal_funfact;kuentame un dato dibertido animal;es
animal_funfact;algun dato curioso d un animal ke elijas;es
animal_funfact;Cuéntame algo curioso de un perro.;es
animal_funfact;Dime una curiosidad de los gatos.;es
animal_funfact;¿Sabías algo interesante de los búhos?;es
animal_funfact;Un dato loco de un animal cualquiera.;es
animal_funfact;Sorpréndeme con un hecho de los osos hormigueros.;es
animal_funfact;¿Alguna curiosidad sobre los monos?;es
animal_funfact;Dame un dato sobre los caballos.;es
animal_funfact;Cuéntame algo que no sepa de los elefantes.;es
animal_funfact;¿Tienes un hecho interesante de delfines?;es
animal_funfact;Un dato sobre los tigres.;es
animal_funfact;Dime algo cool de los perezosos.;es
animal_funfact;¿Una curiosidad de las jirafas?;es
animal_funfact;Dame un hecho divertido sobre los pandas.;es
animal_funfact;Algo sorprendente de las serpientes.;es
animal_funfact;¿Qué dato tienes sobre los camaleones?;es
animal_funfact;Cuéntame una anécdota animal.;es
animal_funfact;Un dato random de animales.;es
animal_funfact;¿Hay un hecho increíble sobre los leones?;es
animal_funfact;Información curiosa de los lobos.;es
animal_funfact;Dime un secreto de un animal.;es
animal_funfact;Cuéntame una curiosidad de un perro de aquí.;es
animal_funfact;Dime algo interesante de los gatos.;es
animal_funfact;¿Sabías algún dato flipante de los búhos?;es
animal_funfact;Un dato curioso de un animal español.;es
animal_funfact;Sorpréndeme con un hecho de los osos pardos.;es
animal_funfact;¿Alguna curiosidad sobre los linces?;es
animal_funfact;Dame un dato sobre los caballos andaluces.;es
animal_funfact;Cuéntame algo que no sepa de los toros.;es
animal_funfact;¿Tienes un hecho interesante de delfines?;es
animal_funfact;Un dato sobre los lobos ibéricos.;es
animal_funfact;Dime algo chulo de las águilas.;es
animal_funfact;¿Una curiosidad de las jirafas?;es
animal_funfact;Dame un hecho divertido sobre los zorros.;es
animal_funfact;Algo sorprendente de los jabalíes.;es
animal_funfact;¿Qué dato tienes sobre las cabras montesas?;es
animal_funfact;Cuéntame una anécdota de un animal de granja.;es
animal_funfact;Un dato random de insectos.;es
animal_funfact;¿Hay un hecho increíble sobre los vencejos?;es
animal_funfact;Información curiosa de los erizos.;es
animal_funfact;Dime un secreto de un animal marino.;es
bye;¡Adiós!;es
bye;¡Hasta luego!;es
bye;Chau.;es
bye;Nos vemos.;es
bye;Que tengas un buen día.;es
bye;¡Cuídate!;es
bye;Gracias, adiós.;es
bye;Me tengo que ir.;es
bye;Ha sido un gusto, hasta pronto.;es
bye;Me despido.;es
bye;adios;es
bye;nos vemos;es
bye;chau;es
bye;asta luego;es
bye;q te valla bien;es
bye;kuidate;es
bye;gracias adios;es
bye;me voi ya;es
bye;fue un gusto adios;es
bye;ya me despido;es
bye;¡Chau! Nos vemos.;es
bye;¡Adiós! Que le vaya bien.;es
bye;¡Hasta luego! Cuídese.;es
bye;¡Nos vemos!;es
bye;Que tenga un buen día.;es
bye;Ahí nos vemos.;es
bye;Chao.;es
bye;Que le vaya bonito.;es
bye;Gracias, me despido.;es
bye;Fue un gusto, chao.;es
bye;Adios!;es
bye;Nos vemoss!;es
bye;Chauu.;es
bye;Q t vaya bien.;es
bye;Cuidate.;es
bye;Ya me fui.;es
bye;Grasias adios.;es
bye;Fue un gusto asta luego.;es
bye;M despido.;es
bye;Fin del chat.;es
bye;Ya me voy, grax.;es
bye;Bye bye.;es
bye;Cya.;es
bye;Buen dia!;es
bye;Adiocito.;es
bye;Fin.;es
bye;Hasta la proxima.;es
bye;Ya no necesito nada, adios.;es
bye;Desconectando.;es
bye;Cerramos sesion.;es
bye;¡Hasta otra!;es
bye;¡Venga, adiós!;es
bye;¡Chao, chao!;es
bye;Nos vemos, máquina.;es
bye;Que vaya bien.;es
bye;¡Cuídate mucho!;es
bye;Gracias y hasta pronto.;es
bye;Me piro ya;es
bye;Ha sido un placer, majo/maja.;es
bye;Un saludo.;es
bye;Adeu!;es
bye;Agur!;es
bye;Hasta luego Lucas!;es
bye;Cierro.;es
bye;Me desconecto.;es
bye;Fin de la conversación.;es
bye;Listo, adios.;es
bye;Gracias por tó.;es
bye;Ya está, hasta otra.;es
bye;Q t vaya bieen.;es
greetings;¡Hola! ??;es
greetings;¿Qué tal?;es
greetings;Buenos días.;es
greetings;¡Hola, hola!;es
greetings;¿Cómo andamos?;es
greetings;¡Qué gusto saludarte!;es
greetings;Un placer conversar contigo.;es
greetings;¿Cómo te va?;es
greetings;¡Buenas tardes!;es
greetings;¿Hay alguien ahí?;es
greetings;hola k tal;es
greetings;buenos dias;es
greetings;q onda;es
greetings;holi como andas;es
greetings;q milagro saludarte;es
greetings;ola ai alguien;es
greetings;saludos;es
greetings;q se dice;es
greetings;buenas tardes;es
greetings;wenas;es
greetings;¡Hola! ¿Qué tal?;es
greetings;¡Qué onda! ¿Cómo andas?;es
greetings;¡Buenos días! ¿Cómo le va?;es
greetings;¡Qué hubo! ¿Todo bien?;es
greetings;¡Buenas! ¿Cómo estamos?;es
greetings;¡Pura vida! ¿Cómo le va?;es
greetings;¡Quiubo! ¿Qué cuentas?;es
greetings;¡Hola, hola! ¿Cómo va la cosa?;es
greetings;¿Qué decís? ¿Todo piola?;es
greetings;¡Wenas! ¿Cómo andás?;es
greetings;Ola, k tal?;es
greetings;Buenas tardes, como anda?;es
greetings;Hola a todes!;es
greetings;q mas?;es
greetings;Como ta?;es
greetings;Ay alguien por ahi?;es
greetings;Holix!;es
greetings;Wenas noches!;es
greetings;q tal el dia?;es
greetings;Hola, soy un cliente!;es
greetings;Holix! Qué onda la vida?;es
greetings;Wena cabros, cómo andan?;es
greetings;Qué más, mijo?;es
greetings;Pura buena vibra!;es
greetings;Saludos desde acá.;es
greetings;Bueenas noches! Como le va?;es
greetings;Mi gente, ¿cómo 'stán?;es
greetings;¡Che! ¿Todo tranca?;es
greetings;Hola a la muchachada.;es
greetings;Aquí andamos, ¿y tú?;es
greetings;Buenos días, mi king/queen!;es
greetings;¡Ay, qué chévere saludarte!;es
greetings;Me alegra verte por aquí.;es
greetings;¿Cómo le ha ido el día?;es
greetings;Hola, soy fulanito.;es
greetings;Un gusto conversar.;es
greetings;Hola ¿cómo estamos por acá?;es
greetings;Qué milagro!;es
greetings;Buenas y santas.;es
greetings;¡Qué bien verte por aquí!;es
greetings;¡Hola! ¿Qué tal te va?;es
greetings;¡Buenas! ¿Cómo andamos?;es
greetings;¡Qué pasa!;es
greetings;¡Hombre! ¿Qué hay?;es
greetings;¡Alo!;es
greetings;¿Cómo estás, majo? ;es
greetings;¡Epa! ¿Qué tal?;es
greetings;¡Muy buenas!;es
greetings;¿Qué se cuenta?;es
greetings;¡Diga!;es
greetings;Hola, tron.;es
greetings;Venga, ¿qué tal?;es
greetings;Buenas tardes, crack.;es
greetings;Cómo andas hoy?;es
greetings;Ay alguien?;es
greetings;Hola a todos!;es
greetings;K tl?;es
greetings;Oli!;es
greetings;Wenasss.;es
greetings;Q pasa x aki?;es
human_help;Necesito hablar con un representante.;es
human_help;¿Me puedes pasar con un agente, por favor?;es
human_help;Esto es urgente, necesito ayuda humana.;es
human_help;Por favor, conéctame con alguien de soporte.;es
human_help;¿Hay alguna manera de hablar con una persona real?;es
human_help;No me estás entendiendo, necesito hablar con un humano.;es
human_help;Quiero presentar una queja formal, necesito a un supervisor.;es
human_help;Esto es un fraude, voy a reportarlos.;es
human_help;Estoy muy molesto, quiero hablar con alguien ahora.;es
human_help;¿Puede poner a alguien a cargo en la línea?;es
human_help;Necesito una solución, pasame con alguien.;es
human_help;Mi problema es complicado, el bot no ayuda.;es
human_help;Me siento estafado, exijo hablar con un superior.;es
human_help;¿Hay algún número de teléfono para hablar con ustedes?;es
human_help;Quiero escalar mi caso, póngame con un humano.;es
human_help;Estoy experimentando un problema muy sensible.;es
human_help;No puedo resolver esto con un robot.;es
human_help;Es un asunto personal, necesito privacidad.;es
human_help;Mi situación es única y requiere atención humana.;es
human_help;Creo que hay un error grave, hablemos.;es
human_help;Estoy cansado de repetir lo mismo, póngame con alguien.;es
human_help;No encuentro la información, ¿puede un humano ayudarme?;es
human_help;Necesito asistencia personalizada.;es
human_help;Esto es inaceptable, quiero hablar con alguien de inmediato.;es
human_help;Los voy a demandar si no me atienden.;es
human_help;kiero ablar con un rrepresentante;es
human_help;m pasas con un ajente xfa;es
human_help;urgente necesito ayuda umanna;es
human_help;conectame con alguien d soporte;es
human_help;ay forma d ablar con persona real;es
human_help;no m entiendes ablar con umanno;es
human_help;kiero aser una keja nesesito supervisor;es
human_help;esto es un ffraude los boy a reportar;es
human_help;estoy mui enojado kiero ablar con algien aora;es
human_help;ponme con un cargo en la linea;es
human_help;nesesito solucion pasam con algien;es
human_help;mi problema es complikado el bot no aiuda;es
human_help;m siento estafado exijo ablar con superior;es
human_help;ai algun numero pa ablar con udes;es
human_help;kiero eskalar mi caso ponm con un humano;es
human_help;estoy pasando x un problema mui sensible;es
human_help;no puedo resover esto con robot;es
human_help;asunto personal nesesito privacidad;es
